accession,source,domain,phylum,class_,order,family,genus,species
RS_GCF_004661485.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,Methylotenera sp004661485
GB_GCA_002791805.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,UBA1280,UBA6156,UM-FILTER-53-9,UM-FILTER-53-9 sp002791805
GB_GCA_000513055.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,AAA240-E13,AAA240-E13 sp000513055
RS_GCF_016107545.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter namhaensis
RS_GCF_000712135.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp000712135
GB_GCA_902573385.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902573385
GB_GCA_006226305.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,SMXP01,SMXP01,M2410,M2410 sp006226305
GB_GCA_015494185.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,HXMU1428-3,S144-35,S144-35 sp015494185
GB_GCA_000814665.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,Pseudoalteromonas elyakovii
RS_GCF_018131225.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,U87765,U87765 sp018131225
GB_GCA_000147015.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales_A,Enterobacteriaceae_A,Zinderia,Zinderia insecticola
RS_GCF_004216695.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pigmentiphaga,Pigmentiphaga kullae
GB_GCA_902528135.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902528135
RS_GCF_001427125.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E sp001427125
GB_GCA_015709695.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,GCA-2729495,GCA-2729495,QUBU01,QUBU01 sp015709695
RS_GCF_015476335.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,ESH-2018B,ESH-2018B sp015476335
GB_GCA_013373375.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Kangiellaceae,Pleionea,Pleionea sp013373375
RS_GCF_900582195.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E sp900582195
GB_GCA_002414385.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA5109,UBA5109 sp002414385
RS_GCF_001428865.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp001428865
